$ -0.050 \pm 0.005 $	&0.01	&$ -0.370 \pm 0.016 $	&60.00	\\ 
$ -0.100 \pm 0.010 $	&0.02	&$ -1.19 \pm 0.03 $	&60.00	\\ 
$ -0.20 \pm 0.02 $	&0.05	&$ -3.09 \pm 0.06 $	&60.00	\\ 
$ -0.30 \pm 0.03 $	&0.05	&$ -5.25 \pm 0.09 $	&60.00	\\ 
$ -0.40 \pm 0.04 $	&0.10	&$ -7.45 \pm 0.12 $	&60.00	\\ 
$ -0.50 \pm 0.05 $	&0.10	&$ -9.81 \pm 0.16 $	&60.00	\\ 
$ -0.60 \pm 0.06 $	&0.10	&$ -12.19 \pm 0.19 $	&60.00	\\ 
$ -0.68 \pm 0.07 $	&0.20	&$ -13.9 \pm 0.2 $	&60.00	\\ 
$ -0.80 \pm 0.08 $	&0.20	&$ -16.8 \pm 0.3 $	&60.00	\\ 
$ -0.88 \pm 0.09 $	&0.20	&$ -18.6 \pm 0.3 $	&60.00	\\ 
$ -1.00 \pm 0.10 $	&0.20	&$ -20.9 \pm 0.3 $	&60.00	\\ 
$ -1.12 \pm 0.12 $	&0.20	&$ -22.6 \pm 0.3 $	&60.00	\\ 
$ -1.30 \pm 0.14 $	&0.50	&$ -24.4 \pm 0.4 $	&60.00	\\ 
$ -1.40 \pm 0.15 $	&0.50	&$ -25.1 \pm 0.4 $	&60.00	\\ 
$ -1.60 \pm 0.17 $	&0.50	&$ -25.9 \pm 0.4 $	&60.00	\\ 
$ -1.70 \pm 0.18 $	&0.50	&$ -26.2 \pm 0.4 $	&60.00	\\ 
$ -1.90 \pm 0.20 $	&0.50	&$ -26.6 \pm 0.4 $	&60.00	\\ 
$ -2.0 \pm 0.2 $	&0.50	&$ -26.9 \pm 0.4 $	&60.00	\\ 
$ -2.2 \pm 0.2 $	&0.50	&$ -27.2 \pm 0.4 $	&60.00	\\ 
$ -2.3 \pm 0.2 $	&0.50	&$ -27.4 \pm 0.4 $	&60.00	\\ 
$ -2.5 \pm 0.3 $	&0.50	&$ -27.8 \pm 0.4 $	&60.00	\\ 
$ -2.6 \pm 0.3 $	&0.50	&$ -27.9 \pm 0.4 $	&60.00	\\ 
$ -2.8 \pm 0.3 $	&0.50	&$ -28.2 \pm 0.4 $	&60.00	\\ 
$ -2.9 \pm 0.3 $	&0.50	&$ -28.4 \pm 0.4 $	&60.00	\\ 
$ -3.1 \pm 0.3 $	&1.00	&$ -28.8 \pm 0.4 $	&60.00	\\ 
$ -3.2 \pm 0.3 $	&1.00	&$ -28.9 \pm 0.4 $	&60.00	\\ 
$ -3.4 \pm 0.4 $	&1.00	&$ -29.2 \pm 0.4 $	&60.00	\\ 
$ -3.6 \pm 0.4 $	&1.00	&$ -29.5 \pm 0.5 $	&60.00	\\ 
$ -3.7 \pm 0.4 $	&1.00	&$ -29.6 \pm 0.5 $	&60.00	\\ 
$ -3.8 \pm 0.4 $	&1.00	&$ -29.8 \pm 0.5 $	&60.00	\\ 
$ -4.0 \pm 0.4 $	&1.00	&$ -30.4 \pm 0.5 $	&60.00	\\ 
